CODICE_FARMACIA,DESCRIZIONE_FARMACIA,PARTITA_IVA,INDIRIZZO,COMUNE,FRAZIONE,PROVINCIA,CODICE_ISTAT,CAP,MUNICIPIO,ID_NIL,NIL,LONGITUDINE,LATITUDINE,Location,lon,lat,id_nil,municipio,nil,nearest_pharmacy_m,opportunity_score,saturation_index,pop_per_farmacia,farmacie_per_10k,quota_over65_pct,archetipo
MI2052,PIAZZA GRAMSCI,3860200967,"VIA PAOLO SARPI, 62",MILANO,,MI,15146,20154,8,69,SARPI,9.1705675093,45.4810317026,"(45.4810317026, 9.1705675093)",9.1705675093,45.4810317026,69,8,Sarpi,171.6033954238098,14.6,88.6,2177,4.59,20.6,Zona molto competitiva
MI0879,A.F.M. N. 51,13195220150,"VIA MARIO PIERI, 2",MILANO,,MI,15146,20127,2,19,PADOVA - TURRO - CRESCENZAGO,9.2441675762,45.5075582049,"(45.5075582049, 9.2441675762)",9.2441675762,45.5075582049,19,2,Padova - Turro - Crescenzago,360.9019024584749,61.9,48.4,4747,2.11,20.1,Zona bilanciata
MI1941,SOLARI,11099220961,"VIA ANDREA SOLARI, 40",MILANO,,MI,15146,20144,6,50,PORTA GENOVA,9.1597867893,45.4544153043,"(45.4544153043, 9.1597867893)",9.1597867893,45.4544153043,50,6,Porta Genova,323.3612894832415,44.6,55.7,3775,2.65,23.8,Zona pressione parafarmacie
MI1440,MONFORTE SNC,11016490150,"CORSO MONFORTE, 19",MILANO,,MI,15146,20122,1,1,DUOMO,9.1999340938,45.4669620914,"(45.4669620914, 9.1999340938)",9.1999340938,45.4669620914,1,1,Duomo,212.7494469564374,1.1,99.0,636,15.73,24.0,Zona molto competitiva
MI1919,PENNAGLIA SAS DELLA DOTT.SSA ANNA MARIA PENNAGLIA,10579760967,"VIA MONTE PALOMBINO, 9",MILANO,,MI,15146,20138,4,33,ROGOREDO - SANTA GIULIA,9.2441208052,45.4320315995,"(45.4320315995, 9.2441208052)",9.2441208052,45.4320315995,33,4,Rogoredo - Santa Giulia,484.2269561959689,70.6,18.4,5858,1.71,14.9,Zona ad alto potenziale non satura
MI0701,A.F.M. N. 38,13195220150,VIA MICHELE SAPONARO 2C,MILANO,,MI,15146,20142,5,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,9.1727312138,45.4112624169,"(45.4112624169, 9.1727312138)",9.1727312138,45.4112624169,41,5,Gratosoglio - Q.Re Missaglia - Q.Re Terrazze,475.0261450001894,63.9,38.1,4776,2.09,25.6,Zona servizi senior
MI1451,CARLETTI SAS,11017700151,"VIA MAC MAHON, 111",MILANO,,MI,15146,20155,8,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO,9.1532307999,45.4972708856,"(45.4972708856, 9.1532307999)",9.1532307999,45.4972708856,71,8,Villapizzone - Cagnola - Boldinasco,300.0047213294145,59.3,48.2,4645,2.15,20.5,Zona bilanciata
MI1635,VAL DI SOLE,1663790184,"VIA VAL DI SOLE, 22",MILANO,,MI,15146,20141,5,38,VIGENTINO - Q.RE FATIMA,9.2035867596,45.4300787837,"(45.4300787837, 9.2035867596)",9.2035867596,45.4300787837,38,5,Vigentino - Q.Re Fatima,519.1310740510622,60.8,29.8,4068,2.46,23.1,Zona bilanciata
MI1989,V ALPINI SAS DI PERRECA DR.SSA PATRIZIA,12246290964,"LARGO QUINTO ALPINI, 1",MILANO,,MI,15146,20145,1,7,MAGENTA - S. VITTORE,9.167348188,45.4718838192,"(45.4718838192, 9.167348188)",9.167348188,45.4718838192,7,1,Magenta - S. Vittore,248.6507907151109,7.0,92.1,1805,5.54,22.3,Zona molto competitiva
MI1893,BERGOGNONE SRL,10209770964,"VIA AMBROGIO DA FOSSANO BERGOGNONE, 31",MILANO,,MI,15146,20144,6,50,PORTA GENOVA,9.1638862105,45.4539824209,"(45.4539824209, 9.1638862105)",9.1638862105,45.4539824209,50,6,Porta Genova,323.3612894832415,44.6,55.7,3775,2.65,23.8,Zona pressione parafarmacie
