id_nil,nil,municipio,farmacie,distanza_mediana_farmacia_m,parafarmacie_attive,nil_pop,residenti_2025,residenti_over65,zona,pop_per_farmacia,farmacie_per_10k,parafarmacie_per_10k,quota_over65_pct,over65_per_farmacia,proximity_pressure,coverage_gap,senior_demand,para_pressure,opportunity_score,saturation_index,archetipo
36,Scalo Romana,5,1,309.1428330482223,0,Scalo Romana,12030,2185,Scalo Romana (M5),12030,0.83,0.0,18.2,2185,52.2,100.0,100.0,21.7,95.7,23.2,Zona ad alto potenziale non satura
13,Greco - Segnano,2,2,238.5572898604342,0,Greco - Segnano,16172,3320,Greco - Segnano (M2),8086,1.24,0.0,20.5,1660,79.7,97.1,97.1,21.7,93.3,34.2,Zona ad alto potenziale non satura
70,Ghisolfa,8,3,296.7098872269166,0,Ghisolfa,18625,3892,Ghisolfa (M8),6208,1.61,0.0,20.9,1297,55.8,89.9,85.5,21.7,86.0,29.1,Zona ad alto potenziale non satura
46,Barona,6,3,661.7339921364453,0,Barona,16545,5150,Barona (M6),5515,1.81,0.0,31.1,1717,5.8,79.7,98.6,21.7,86.0,16.1,Zona ad alto potenziale non satura
16,Gorla - Precotto,2,5,521.5887638499968,0,Gorla - Precotto,30058,6465,Gorla - Precotto (M2),6012,1.66,0.0,21.5,1293,10.1,84.1,84.1,21.7,82.9,15.7,Zona ad alto potenziale non satura
72,Maggiore - Musocco - Certosa,8,1,648.5861663952743,1,Maggiore - Musocco - Certosa,10508,1495,Maggiore - Musocco - Certosa (M8),10508,0.95,0.95,14.2,1495,7.2,98.6,91.3,72.5,81.8,18.3,Zona ad alto potenziale non satura
83,Bruzzano,9,2,205.2002357812594,1,Bruzzano,12684,3070,Bruzzano (M9),6342,1.58,0.79,24.2,1535,89.9,92.8,94.2,66.7,81.4,49.0,Zona ad alto potenziale non satura
37,Morivione,5,1,436.165251144973,1,Morivione,7665,1632,Morivione (M5),7665,1.3,1.3,21.3,1632,18.8,95.7,95.7,78.3,80.9,24.8,Zona ad alto potenziale non satura
61,Quarto Cagnino,7,2,288.3110814815626,0,Quarto Cagnino,9952,2657,Quarto Cagnino (M7),4976,2.01,0.0,26.7,1328,60.9,75.4,88.4,21.7,80.5,37.4,Zona ad alto potenziale non satura
80,Affori,9,4,312.1763166652606,1,Affori,25973,5047,Affori (M9),6493,1.54,0.39,19.4,1262,47.8,94.2,79.7,53.6,79.6,30.7,Zona ad alto potenziale non satura
55,Baggio - Q.Re Degli Olmi - Q.Re Valsesia,7,5,431.3968612288433,2,Baggio - Q.re degli Olmi - Q.re Valsesia,30685,7533,Baggio - Q.Re Degli Olmi - Q.Re Valsesia (M7),6137,1.63,0.65,24.5,1507,21.7,88.4,92.8,63.8,79.5,26.2,Zona ad alto potenziale non satura
62,Quinto Romano,7,1,1344.194449535641,0,Quinto Romano,4795,1316,Quinto Romano (M7),4795,2.09,0.0,27.4,1316,1.4,72.5,87.0,21.7,78.7,18.5,Zona ad alto potenziale non satura
48,Ronchetto Sul Naviglio - Q.Re Lodovico Il Moro,6,3,517.5023780390626,0,Ronchetto sul Naviglio - Q.re Lodovico il Moro,14554,3829,Ronchetto Sul Naviglio - Q.Re Lodovico Il Moro (M6),4851,2.06,0.0,26.3,1276,11.6,73.9,81.2,21.7,77.3,20.8,Zona ad alto potenziale non satura
53,Lorenteggio,6,3,363.0608581564837,0,Lorenteggio,15199,3355,Lorenteggio (M6),5066,1.97,0.0,22.1,1118,31.9,76.8,75.4,21.7,76.6,26.3,Zona ad alto potenziale non satura
17,Adriano,2,3,360.9019024584749,1,Adriano,18203,3165,Adriano (M2),6068,1.65,0.55,17.4,1055,33.3,85.5,73.9,59.4,72.5,30.7,Zona ad alto potenziale non satura
28,Umbria - Molise - Calvairate,4,4,293.0013596064015,2,Umbria - Molise - Calvairate,23153,5154,Umbria - Molise - Calvairate (M4),5788,1.73,0.86,22.3,1288,59.4,81.2,82.6,69.6,71.5,43.8,Zona ad alto potenziale non satura
23,Lambrate - Ortica,3,2,499.8425972187783,2,Lambrate - Ortica,12654,2325,Lambrate - Ortica (M3),6327,1.58,1.58,18.4,1162,14.5,91.3,76.8,85.5,70.9,26.4,Zona ad alto potenziale non satura
33,Rogoredo - Santa Giulia,4,2,484.2269561959689,0,Rogoredo - Santa Giulia,11717,1744,Rogoredo - Santa Giulia (M4),5858,1.71,0.0,14.9,872,15.9,82.6,50.7,21.7,70.6,18.4,Zona ad alto potenziale non satura
64,Trenno,8,1,871.8620305537559,0,Trenno,4008,1354,Trenno (M8),4008,2.5,0.0,33.8,1354,4.3,52.2,89.9,21.7,70.6,28.0,Zona ad alto potenziale non satura
35,Lodi - Corvetto,4,8,334.2323165769486,0,Lodi - Corvetto,36911,8122,Lodi - Corvetto (M4),4614,2.17,0.0,22.0,1015,37.7,63.8,69.6,21.7,68.7,34.2,Zona bilanciata
31,Monlue' - Ponte Lambro,4,1,1176.248503934637,0,Monlue' - Ponte Lambro,6088,756,Monlue' - Ponte Lambro (M4),6088,1.64,0.0,12.4,756,2.9,87.0,37.0,21.7,67.8,11.9,Zona bilanciata
82,Comasina,9,2,313.6474820859447,0,Comasina,10135,1684,Comasina (M9),5068,1.97,0.0,16.6,842,46.4,78.3,47.8,21.7,67.6,31.3,Zona bilanciata
56,Forze Armate,7,6,433.6859144796231,0,Forze Armate,25189,6325,Forze Armate (M7),4198,2.38,0.0,25.1,1054,20.3,58.0,72.5,21.7,67.1,31.0,Zona servizi senior
