codice_identificativo_sito,sito_logistico,indirizzo,partita_iva,codice_comune,comune,codice_provincia,sigla_provincia,provincia,codice_regione,regione,data_inizio_validita,data_fine_validita,CAP,MUNICIPIO,ID_NIL,NIL,Location,LONG_X_4326,LAT_Y_4326,lon,lat,id_nil,municipio,nil,data_fine
2701,Pharma & Shop,"via Senigallia, 18/2",4335800969,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2007-01-02T00:00:00,,20161.0,9.0,83.0,BRUZZANO,"(45.53182799999999, 9.166837500000014)",9.1668375,45.531828,9.166837500000014,45.531828,83.0,9.0,Bruzzano,
2743,Parafarmacia Le NORD,"P.zza Cadorna,10",3001390131,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2007-01-02T00:00:00,,20123.0,1.0,7.0,MAGENTA - S. VITTORE,"(45.46858499999999, 9.176215500000012)",9.1762155,45.468585,9.176215500000012,45.468585,7.0,1.0,Magenta - S. Vittore,
3151,Ipercoop La Torre,"Via Benozzo Gozzoli, 130",856620158,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2016-01-06T00:00:00,,20152.0,7.0,55.0,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,"(45.450728999999995, 9.09710100000001)",9.097101,45.450729,9.097101,45.450729,55.0,7.0,Baggio - Q.Re Degli Olmi - Q.Re Valsesia,
3274,+Medical Milano Lodi,Viale Umbria ang. Via P. Colletta,1590200125,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2025-01-07T00:00:00,,20135.0,4.0,28.0,UMBRIA - MOLISE - CALVAIRATE,"(45.44809323900006, 9.210911493000026)",9.210911493000026,45.44809323900006,9.210911493000026,45.44809323900006,28.0,4.0,Umbria - Molise - Calvairate,
3803,parafarmacia auranova di rodegher alessandra&c,viale ungheria 10,5839550968,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2007-01-09T00:00:00,,20138.0,4.0,30.0,TALIEDO - MORSENCHIO - Q.RE FORLANINI,"(45.44554500000001, 9.243306000000018)",9.243306,45.445545,9.243306,45.445545,30.0,4.0,Taliedo - Morsenchio - Q.Re Forlanini,
4498,MEDI-MARKET ITALIA SRL,"Corso Buenos Aires, 25",4873590964,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2022-01-08T00:00:00,,20124.0,3.0,21.0,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,"(45.478781999999995, 9.209182499999997)",9.2091825,45.478782,9.2091825,45.478782,21.0,3.0,Buenos Aires - Porta Venezia - Porta Monforte,
4762,Centro Botanico,Via Cesare Correnti 10/12,13049560157,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2008-01-04T00:00:00,,20123.0,1.0,1.0,DUOMO,"(45.459873000000016, 9.180004499999995)",9.1800045,45.459873,9.1800045,45.459873,1.0,1.0,Duomo,
4888,ERBORISTERIA LA MADRESELVA,"LARGO USUELLI, 1",5117840156,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2008-01-05T00:00:00,,20159.0,9.0,11.0,ISOLA,"(45.49103099999999, 9.189459)",9.189459,45.491031,9.189459,45.491031,11.0,9.0,Isola,
5665,PARAFARMACIE MILANO DI ALESSANDRA DEL MARE,VIALE MONTE NERO 46,6526710964,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2009-01-04T00:00:00,,20135.0,4.0,26.0,XXII MARZO,"(45.457460999999995, 9.205784999999992)",9.205785,45.457461,9.205785,45.457461,26.0,4.0,Xxii Marzo,
5747,Ortopedia Leone Srl,"via olgettina, 60",6326500961,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2013-01-03T00:00:00,,20132.0,3.0,18.0,CIMIANO - ROTTOLE - Q.RE FELTRE,"(45.50606100000002, 9.267849000000012)",9.267849,45.506061,9.267849,45.506061,18.0,3.0,Cimiano - Rottole - Q.Re Feltre,
5890,parafarmacia lina,via ripamonti 40,10130680159,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2009-01-07T00:00:00,,20136.0,5.0,5.0,PORTA VIGENTINA - PORTA LODOVICA,"(45.44618400000002, 9.197829000000013)",9.197829,45.446184,9.197829,45.446184,5.0,5.0,Porta Vigentina - Porta Lodovica,
6178,Arnone Company sas di Arnone Raffaele e C.,Corso di Porta Vigentina 40,6882000968,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2012-01-10T00:00:00,,20122.0,1.0,5.0,PORTA VIGENTINA - PORTA LODOVICA,"(45.453213000000005, 9.196091999999993)",9.196092,45.453213,9.196092,45.453213,5.0,1.0,Porta Vigentina - Porta Lodovica,
6263,Parafarmacia S.Ambrogio,via De Amicis 33,6940770966,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2010-01-03T00:00:00,,20123.0,1.0,7.0,MAGENTA - S. VITTORE,"(45.459306, 9.176598000000013)",9.176598,45.459306,9.176598,45.459306,7.0,1.0,Magenta - S. Vittore,
6276,Parafarmacia di via Missaglia,"via Missaglia, 97 Milano",4335800969,15146,MILANO,15,MI,MILANO,30,LOMBARDIA,2010-01-03T00:00:00,,20142.0,5.0,41.0,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,"(45.410319000000015, 9.17509050000001)",9.1750905,45.410319,9.17509050000001,45.410319,41.0,5.0,Gratosoglio - Q.Re Missaglia - Q.Re Terrazze,
